ID,Link,Title,Subtitle,Extra
3803820,https://book.douban.com/subject/3803820/,人生,,路遥|北京十月文艺出版社|2009-5|20.00元
1082387,https://book.douban.com/subject/1082387/,一九八四·动物农场,,[英] 乔治·奥威尔|董乐山|上海译文出版社|2003-4|23.00元
1963310,https://book.douban.com/subject/1963310/,大地之灯,,七堇年|长江文艺出版社|2007-1|22.00元
1786387,https://book.douban.com/subject/1786387/,影响力,,[美] 罗伯特·西奥迪尼|陈叙|中国人民大学出版社|2006-5|45.00元
10786473,https://book.douban.com/subject/10786473/,自控力,斯坦福大学最受欢迎心理学课程,[美]  凯利·麦格尼格尔|王岑卉|文化发展出版社(原印刷工业出版社)|2012-8|39.80元
2567919,https://book.douban.com/subject/2567919/,匆匆那年（上下）,,九夜茴|东方出版社|2008-1|29.00
5327697,https://book.douban.com/subject/5327697/,橙,陪安东尼度过漫长岁月 Ⅱ,安东尼|长江文艺出版社|2010-10|28.80元
1292416,https://book.douban.com/subject/1292416/,香水,一个谋杀犯的故事,[德] 帕·聚斯金德|李清华|上海译文出版社|2005-5|20.00元
1291809,https://book.douban.com/subject/1291809/,世界尽头与冷酷仙境,,[日] 村上春树|林少华|上海译文出版社|2002-12|23.00元
1213546,https://book.douban.com/subject/1213546/,变形记,卡夫卡小说,[奥] 卡夫卡|叶廷芳|浙江文艺出版社|2003-4|16.00元
1336330,https://book.douban.com/subject/1336330/,冰与火之歌（卷一）,权力的游戏,[美] 乔治·R. R. 马丁|谭光磊|重庆出版社|2005-5|68.00元
1958227,https://book.douban.com/subject/1958227/,那些年，我们一起追的女孩,,九把刀|花山文艺出版社|2007-1|20.00元
1863930,https://book.douban.com/subject/1863930/,看不见的城市,,[意大利]伊塔洛·卡尔维诺|张宓|译林出版社|2006-8|16.00元
7060185,https://book.douban.com/subject/7060185/,江城,,[美] 彼得·海斯勒|李雪顺|上海译文出版社|2012-1|36.00元
3609132,https://book.douban.com/subject/3609132/,把时间当作朋友,运用心智获得解放,李笑来|电子工业出版社|2009-6|32.00元
1056295,https://book.douban.com/subject/1056295/,人性的弱点全集,,[美] 戴尔·卡耐基|袁玲|中国发展出版社|2008-1|25.00元
3554154,https://book.douban.com/subject/3554154/,阿狸·梦之城堡,,hans|上海锦绣文章出版社|2009-1|36.80元
1228110,https://book.douban.com/subject/1228110/,天使与魔鬼,,[美] 丹.布朗|朱振武|人民文学出版社|2005-2|29.80元
26943161,https://book.douban.com/subject/26943161/,未来简史,,[以色列] 尤瓦尔·赫拉利|林俊宏|中信出版集团|2017-2|68.00元
3136271,https://book.douban.com/subject/3136271/,罗生门,,[日]芥川龙之介|林少华|上海译文出版社|2008-7|12.00元
1919201,https://book.douban.com/subject/1919201/,七夜雪,,沧月|北京十月文艺出版社|2006-10|25.00元
2297697,https://book.douban.com/subject/2297697/,ZOO,,[日] 乙一|李颖秋|当代世界出版社|2007-10|20.00元
1258498,https://book.douban.com/subject/1258498/,项链,莫泊桑中短篇小说选,[法] 莫泊桑|顾加琛 等|河北教育出版社|2005-2|28.00元
1002898,https://book.douban.com/subject/1002898/,父与子全集,,[德] 埃·奥·卜劳恩 绘|杨莹|中国工人出版社|2003-4|20.00元
1015452,https://book.douban.com/subject/1015452/,国境以南 太阳以西,,[日] 村上春树|林少华|上海译文出版社|2001-8|13.50元
1059336,https://book.douban.com/subject/1059336/,往事并不如烟,,章诒和|人民文学出版社|2004-1|35.00元
1035848,https://book.douban.com/subject/1035848/,一千零一夜,,纳训|人民文学出版社|2003-01|22.0
3633461,https://book.douban.com/subject/3633461/,一句顶一万句,,刘震云|长江文艺出版社|2009-3|29.80
20440644,https://book.douban.com/subject/20440644/,文学回忆录（全2册）,1989—1994,木心 讲述|广西师范大学出版社|2013-1-10|98.00元
25733470,https://book.douban.com/subject/25733470/,没有色彩的多崎作和他的巡礼之年,,[日] 村上春树|施小炜|南海出版公司|2013-10-1|39.50元
1391191,https://book.douban.com/subject/1391191/,京华烟云,,林语堂|张振玉|陕西师范大学出版社|2005-7|43.00元
1203426,https://book.douban.com/subject/1203426/,人间词话,,王国维|上海古籍出版社|1998-12-01|9.80元
1063190,https://book.douban.com/subject/1063190/,蔷薇岛屿,,安妮宝贝|作家出版社|2002-8|18.00元
1818347,https://book.douban.com/subject/1818347/,尼罗河上的惨案,,[英] 阿加莎·克里斯蒂|宫英海|人民文学出版社|2006-5|22.00元
26986954,https://book.douban.com/subject/26986954/,新名字的故事,那不勒斯四部曲-02,[意] 埃莱娜·费兰特|陈英|人民文学出版社|2017-4|59.00元
10560798,https://book.douban.com/subject/10560798/,面纱,,(英)W.萨默塞特·毛姆|阮景林|重庆|2012-05-01|32.00元
4011440,https://book.douban.com/subject/4011440/,最初的爱情 最后的仪式,,[英] 伊恩·麦克尤恩|潘帕|南京大学出版社|2010-2|22.00元
2136140,https://book.douban.com/subject/2136140/,雨季不再来,,三毛|北京十月文艺出版社|2007-7|28.00元
1082162,https://book.douban.com/subject/1082162/,第一炉香,,张爱玲|花城出版社|1997-3|11.5
1013225,https://book.douban.com/subject/1013225/,生活在别处,,[捷克] 米兰·昆德拉|袁筱一|上海译文出版社|2004-5|25.00元
1970428,https://book.douban.com/subject/1970428/,激荡三十年（上）,中国企业1978-2008,吴晓波|中信出版社 浙江人民出版社|2007-1|35.00
1941558,https://book.douban.com/subject/1941558/,设计中的设计,,[日] 原研哉|朱锷|山东人民出版社|2006-11|48.00元
1424741,https://book.douban.com/subject/1424741/,心是孤独的猎手,,[美] 卡森·麦卡勒斯|陈笑黎|上海三联书店|2005-8|25.00元
1014578,https://book.douban.com/subject/1014578/,我的精神家园,王小波杂文自选集,王小波|文化艺术出版社|1997|18.80元
1011754,https://book.douban.com/subject/1011754/,海子的诗,,海子|人民文学出版社|1999-04|15.40
27010212,https://book.douban.com/subject/27010212/,芳华,,严歌苓|人民文学出版社|2017-4-1|39.00元
1025753,https://book.douban.com/subject/1025753/,妻妾成群,,苏童|上海文艺出版社|2004-8|23.00元
3642673,https://book.douban.com/subject/3642673/,我执,,梁文道|广西师范大学出版社|2010-10|35.00元
1321017,https://book.douban.com/subject/1321017/,九州·缥缈录,,江南|新世界出版社|2005-6|20.00元
1062193,https://book.douban.com/subject/1062193/,娱乐至死,,[美] 尼尔·波兹曼|章艳|广西师范大学出版社|2011-6|29.80元
1092335,https://book.douban.com/subject/1092335/,教父,,[美]马里奥·普佐|周汉林|译林出版社|1997-8|23.30元
4872671,https://book.douban.com/subject/4872671/,佛祖在一号线,,李海鹏|文化艺术出版社|2010-6|25.00元
1036490,https://book.douban.com/subject/1036490/,万水千山走遍,,三毛|哈尔滨出版社|2003-08|13.80
1426971,https://book.douban.com/subject/1426971/,野火集,二十年纪念版,龙应台|文汇出版社|2005-8|25.00元
1006197,https://book.douban.com/subject/1006197/,哈姆莱特,,[英] 莎士比亚|朱生豪|人民文学出版社|2001-1|7.00元
2180619,https://book.douban.com/subject/2180619/,偷书贼,,[澳] 马克斯·苏萨克|孙张静|南海出版公司|2007-8|25.00元
26425831,https://book.douban.com/subject/26425831/,斯通纳,,[美] 约翰·威廉斯|杨向荣|上海人民出版社|2016-1|49.00元
5337248,https://book.douban.com/subject/5337248/,台北人,,白先勇|广西师范大学出版社|2010-10|38.00元
3187737,https://book.douban.com/subject/3187737/,占星术杀人魔法,,[日] 岛田庄司|王鹏帆|新星出版社|2008-9|28.00
